,Name,Lat,Long,Distance,Category,Company,City
217,San Francisco Unified School District Financing Corporation,37.761703,-122.400946,1271.0,Elementary School,Pageflakes,San Francisco
218,The New School of San Francisco,37.761752,-122.400734,1290.0,Elementary School,Pageflakes,San Francisco
219,Creative Arts Charter School,37.761503,-122.400576,1295.0,Elementary School,Pageflakes,San Francisco
220,San Francisco Waldorf High School,37.768955,-122.421944,1363.0,Elementary School,Pageflakes,San Francisco
221,San Francisco Unified School,37.763612,-122.429009,1398.0,Elementary School,Pageflakes,San Francisco
222,San Francisco Unified School District,37.75324,-122.399229,1462.0,Elementary School,Pageflakes,San Francisco
223,Envision Schools,37.761812,-122.398659,1467.0,Elementary School,Pageflakes,San Francisco
224,Altschool,37.771751,-122.409709,1577.0,Elementary School,Pageflakes,San Francisco
225,After 6 Continuation High Schools,37.749472,-122.431899,1791.0,Elementary School,Pageflakes,San Francisco
226,St Paul Elementary School,37.743928,-122.427057,1914.0,Elementary School,Pageflakes,San Francisco
227,San Francisco Friends School,37.760192,-122.436976,1971.0,Elementary School,Pageflakes,San Francisco
228,Ecole Saint Sauveur,48.866933,2.347353,433.0,Elementary School,Netvibes,Paris
229,Ecole Elémentaire Mairie de Paris,48.867152,2.350067,484.0,Elementary School,Netvibes,Paris
230,École Étienne Marcel,48.864187,2.348182,757.0,Elementary School,Netvibes,Paris
231,Ecole Elémentaire Mairie de Paris,48.876808,2.352998,803.0,Elementary School,Netvibes,Paris
232,École Primaire de Marseille,48.871794,2.36381,1040.0,Elementary School,Netvibes,Paris
233,École Primaire Publique Recollets,48.874318,2.360179,1068.0,Elementary School,Netvibes,Paris
234,Ecole Elementaire Mairie de Paris 1er Arrondissement,48.864966,2.33377,1108.0,Elementary School,Netvibes,Paris
235,École Primaire Publique Vertus,48.864042,2.358074,1112.0,Elementary School,Netvibes,Paris
236,École élémentaire du Renard,48.859365,2.352541,1334.0,Elementary School,Netvibes,Paris
237,École Cambon,48.868069,2.326961,1475.0,Elementary School,Netvibes,Paris
238,École élémentaire publique des Quatre Fils,48.860421,2.360179,1521.0,Elementary School,Netvibes,Paris
239,Ecole Elémentaire,48.857785,2.355656,1602.0,Elementary School,Netvibes,Paris
240,Ecole Saint-Laurent,48.880752,2.362964,1621.0,Elementary School,Netvibes,Paris
241,Ecole Elémentaire Louis Blanc,48.88227,2.362767,1742.0,Elementary School,Netvibes,Paris
242,École élémentaire privée Saint-Bernard Sainte-Marie,48.885544,2.354771,1748.0,Elementary School,Netvibes,Paris
243,Ecole Elementaire Saint Maur,48.87233,2.371706,1812.0,Elementary School,Netvibes,Paris
244,École Élémentaire Bruxelles,48.882395,2.325405,1882.0,Elementary School,Netvibes,Paris
245,École Primaire Surène,48.871186,2.320503,1903.0,Elementary School,Netvibes,Paris
246,Ecole élémentaire Parmentier,48.867661,2.372142,1930.0,Elementary School,Netvibes,Paris
247,École Élementaire Pajol,48.885849,2.360981,1975.0,Elementary School,Netvibes,Paris
248,École élémentaire Jean-François Lépine,48.886402,2.358476,1981.0,Elementary School,Netvibes,Paris
249,École Primaire Publique Philippe de Girard,48.886355,2.361374,1986.0,Elementary School,Netvibes,Paris
250,École Primaire Publique Bienfaisance,48.876882,2.319824,2105.0,Elementary School,Netvibes,Paris
251,École élémentaire Saint-Jacques,48.851217,2.345566,2176.0,Elementary School,Netvibes,Paris
252,Ecole Elémentaire Publique,48.851217,2.345566,2205.0,Elementary School,Netvibes,Paris
253,École Primaire Publique Hermel,48.891239,2.344575,2278.0,Elementary School,Netvibes,Paris
254,École Primaire d'application Boursault,48.882988,2.321202,2334.0,Elementary School,Netvibes,Paris
255,Ecole Elémentaire Mairie de Paris 17e arrondissement,48.884895,2.322531,2359.0,Elementary School,Netvibes,Paris
256,Groupe Scolaire Lucien de Hirsch,48.87971,2.376358,2382.0,Elementary School,Netvibes,Paris
257,École élémentaire de la rue Froment,48.857268,2.372545,2417.0,Elementary School,Netvibes,Paris
258,École Primaire Massillon,48.851414,2.362543,2447.0,Elementary School,Netvibes,Paris
259,Ecole Elementaire Mairie de Paris,48.848863,2.339924,2490.0,Elementary School,Netvibes,Paris
260,Ecole Elementaire Mairie de Paris 2e Arrondissement,48.869243,2.348321,211.0,Elementary School,Netvibes,Paris
261,Groupe d'Aide Psychopédagogique,48.867194,2.349748,459.0,Elementary School,Netvibes,Paris
262,Ecole Elémentaire Mairie de Paris,48.873967,2.352824,570.0,Elementary School,Netvibes,Paris
263,Sogenor Formation,48.874649,2.338695,723.0,Elementary School,Netvibes,Paris
264,Ecole Maternelle Mairie de Paris,48.869527,2.360283,1004.0,Elementary School,Netvibes,Paris
265,Ecole Maternelle Mairie de Paris,48.879143,2.35278,1028.0,Elementary School,Netvibes,Paris
266,Ecole Elémentaire Mairie de Paris,48.879143,2.35278,1028.0,Elementary School,Netvibes,Paris
267,Bateau-Ecole Guérin,48.87201,2.362392,1156.0,Elementary School,Netvibes,Paris
268,Préventis Centre d'Intervention pour la Santé au Travail,48.881654,2.35155,1256.0,Elementary School,Netvibes,Paris
269,École Élémentaire Rue de Marseille,48.871637,2.363973,1267.0,Elementary School,Netvibes,Paris
270,Ecole Maternelle et Elementaire St Merri,48.85926,2.353023,1364.0,Elementary School,Netvibes,Paris
271,Ecole Elémentaire Mairie de Paris,48.877751,2.330507,1411.0,Elementary School,Netvibes,Paris
272,Ecole élémentaire publique,48.864839,2.364321,1450.0,Elementary School,Netvibes,Paris
273,Ecole Elémentaire et Maternelle Publique,48.880927,2.333552,1478.0,Elementary School,Netvibes,Paris
274,Ifactt,48.876119,2.327882,1495.0,Elementary School,Netvibes,Paris
275,École Primaire Publique Foyatier,48.884879,2.342459,1593.0,Elementary School,Netvibes,Paris
276,Ecole Maternelle Mairie de Paris,48.877285,2.366196,1597.0,Elementary School,Netvibes,Paris
277,Ecole Polyvalente,48.884935,2.351819,1614.0,Elementary School,Netvibes,Paris
278,St Alban's Catholic Primary School,52.198221,0.127154,248.0,Elementary School,Moviestorm,Cambridge
279,St Paul's Primary School,52.196493,0.126909,260.0,Elementary School,Moviestorm,Cambridge
280,Heritage School,52.196812,0.12284,508.0,Education,Moviestorm,Cambridge
281,St Matthew's Primary School,52.204323,0.134679,810.0,Elementary School,Moviestorm,Cambridge
282,St Matthew's Primary School,52.204484,0.134687,834.0,Elementary School,Moviestorm,Cambridge
283,Joint Colleges Nursery,52.192298,0.121411,886.0,Daycare,Moviestorm,Cambridge
284,Park Street C of E Primary School,52.209955,0.119918,1573.0,Elementary School,Moviestorm,Cambridge
285,Morley Memorial Primary School,52.186523,0.144611,1596.0,Elementary School,Moviestorm,Cambridge
286,Ridgefield Primary School,52.193209,0.153337,1620.0,Elementary School,Moviestorm,Cambridge
287,St Philips C of E Primary School,52.200703,0.154127,1635.0,Elementary School,Moviestorm,Cambridge
288,Abbey Meadows School,52.208216,0.160776,2377.0,Elementary School,Moviestorm,Cambridge
